Designator,Mid X,Mid Y,Rotation,Layer
D1,191.7719,-255.8061,0.0,top
D10,265.08,-255.8061,0.0,top
D11,273.745,-250.8936,90.0,top
D12,282.41,-255.8061,0.0,top
D13,291.0915,-250.8936,90.0,top
D14,299.7729,-255.8061,0.0,top
D15,308.4215,-250.9585,90.0,top
D16,317.07,-255.8061,0.0,top
D17,325.75,-250.9585,90.0,top
D18,334.43,-255.8061,0.0,top
D19,343.1027,-250.9585,90.0,top
D2,197.9219,-255.8061,0.0,top
D20,351.7754,-255.8061,0.0,top
D21,360.4481,-250.9585,90.0,top
D22,369.1208,-255.8061,0.0,top
D23,377.6654,-250.9585,90.0,top
D24,383.01,-255.8061,0.0,top
D25,389.41,-255.8061,0.0,top
D3,204.6453,-250.8936,90.0,top
D4,213.36,-255.8061,0.0,top
D5,221.7739,-250.8936,90.0,top
D6,230.7132,-255.8061,0.0,top
D7,239.0882,-250.8936,90.0,top
D8,247.7471,-255.8061,0.0,top
D9,256.4135,-250.8936,90.0,top
J1,230.61,-256.11,180.0,bottom
R1,191.7719,-257.8061,0.0,top
R10,265.08,-257.8061,0.0,top
R11,273.745,-254.6775,270.0,top
R12,282.41,-257.8061,0.0,top
R13,290.3775,-248.33,180.0,top
R14,299.7729,-257.8061,0.0,top
R15,308.4215,-254.5575,270.0,top
R16,317.07,-257.8061,0.0,top
R17,325.75,-254.8175,270.0,top
R18,334.43,-257.8061,0.0,top
R19,343.1027,-254.5775,270.0,top
R2,197.9219,-257.8061,0.0,top
R20,351.7754,-257.8061,0.0,top
R21,360.4481,-254.4775,270.0,top
R22,369.1208,-257.8061,0.0,top
R23,377.1175,-248.33,0.0,top
R24,383.085,-257.8061,180.0,top
R25,389.335,-257.8061,180.0,top
R3,203.8975,-248.33,0.0,top
R4,213.36,-257.8061,0.0,top
R5,221.7677,-254.3275,270.0,top
R6,230.7132,-257.8061,0.0,top
R7,239.0882,-254.299,270.0,top
R8,247.7471,-257.8061,0.0,top
R9,256.4135,-254.3975,270.0,top
S1,196.4222,-250.8936,0.0,top
S10,352.0254,-250.8936,0.0,top
S11,369.3708,-250.8936,0.0,top
S12,386.46,-250.8936,0.0,top
S2,213.3684,-250.8936,0.0,top
S3,230.6793,-250.8936,0.0,top
S4,247.9971,-250.8936,0.0,top
S5,265.33,-250.8936,0.0,top
S6,282.66,-250.8936,0.0,top
S7,300.0229,-250.8936,0.0,top
S8,317.32,-250.8936,0.0,top
S9,334.68,-250.8936,0.0,top
