Designator,Mid X,Mid Y,Rotation,Layer
C1,195.0709,-199.1868,180.0,bottom
C10,212.2435,-203.3524,180.0,bottom
C11,194.7,-260.0125,90.0,bottom
C2,195.0201,-205.7654,180.0,bottom
C3,216.6705,-203.497,180.0,bottom
C4,216.5705,-206.697,180.0,bottom
C5,206.2226,-191.2863,90.0,bottom
C6,216.4853,-216.619,0.0,bottom
C7,216.4853,-218.369,0.0,bottom
C8,216.4853,-220.119,0.0,bottom
C9,216.4853,-221.869,0.0,bottom
D1,197.2564,-130.4799,90.0,top
D10,205.1304,-206.1676,90.0,top
D11,213.158,-200.1553,180.0,top
D12,196.9764,-211.9595,180.0,top
D13,204.9566,-217.726,90.0,top
D14,213.4494,-211.9334,180.0,top
D15,196.8494,-223.4927,180.0,top
D16,204.9566,-229.18,90.0,top
D17,213.5478,-223.4396,180.0,top
D18,196.85,-234.9204,180.0,top
D19,204.9566,-240.6608,90.0,top
D1_RX1,206.4495,-167.3633,90.0,bottom
D2,216.4528,-139.786,180.0,top
D20,213.4208,-234.9204,180.0,top
D21,196.7732,-246.4266,180.0,top
D22,204.9566,-252.1924,90.0,top
D23,213.3526,-246.4266,180.0,top
D24,196.7257,-257.9328,180.0,top
D25,204.9566,-263.6732,90.0,top
D26,213.4796,-257.9328,180.0,top
D27,197.0177,-270.5068,0.0,top
D28,213.0779,-270.5068,0.0,top
D29,205.2184,-270.5068,0.0,top
D2_TX1,203.5556,-167.3633,90.0,bottom
D3,193.7821,-124.7648,0.0,top
D30,205.1665,-195.4353,180.0,top
D31,204.962,-165.1379,0.0,top
D32,193.0694,-140.4464,0.0,top
D33,215.1907,-127.08,0.0,top
D4,205.1196,-136.6012,0.0,top
D5,197.3946,-165.1379,90.0,top
D6,212.8446,-165.1379,90.0,top
D7,199.8115,-193.59,0.0,top
D8,210.7515,-193.57,0.0,top
D9,197.1885,-200.1553,180.0,top
E_ALT1,205.2184,-284.1404,0.0,top
E_HDG1,205.1704,-179.828,0.0,top
E_NAV_FQ1,205.1196,-148.5228,0.0,top
E_NAV_VOL1,205.12,-119.63,0.0,top
F1,212.861,-200.1024,0.0,bottom
J1,214.25,-256.1156,270.0,bottom
J2,205.0895,-196.2704,180.0,bottom
J3,195.6054,-164.069,90.0,bottom
J5,200.13,-266.16,270.0,bottom
J6,193.0908,-180.3908,0.0,bottom
J7,213.4108,-164.2214,90.0,bottom
R1,194.8564,-130.4799,90.0,top
R10,205.1304,-210.1831,90.0,top
R11,209.1525,-200.6,180.0,top
R12,192.7102,-211.8595,270.0,top
R13,204.9566,-221.6385,270.0,top
R14,217.203,-211.8595,270.0,top
R15,192.7102,-223.4927,270.0,top
R16,204.9566,-233.7289,270.0,top
R17,217.203,-223.4441,270.0,top
R18,192.7102,-234.9204,270.0,top
R19,204.9566,-244.6763,270.0,top
R2,216.4528,-141.986,180.0,top
R20,217.203,-234.9204,270.0,top
R21,192.7102,-246.4266,270.0,top
R22,204.9566,-256.7413,270.0,top
R23,217.203,-246.4266,270.0,top
R24,192.7102,-257.9328,270.0,top
R25,205.0375,-266.85,0.0,top
R26,217.203,-257.9328,270.0,top
R27,192.9052,-270.5068,180.0,top
R28,216.3075,-272.89,0.0,top
R29,208.0768,-270.5068,90.0,top
R3,193.7821,-122.5148,0.0,top
R30,205.1225,-191.02,180.0,top
R31,204.962,-162.44,0.0,top
R32,193.0694,-142.6464,0.0,top
R33,215.1907,-123.698,0.0,top
R34,206.1113,-201.4742,270.0,bottom
R35,204.3613,-201.4742,270.0,bottom
R36,191.7326,-201.8279,90.0,bottom
R37,204.2226,-191.3113,90.0,bottom
R38,192.5828,-214.2255,270.0,bottom
R39,216.408,-211.8595,90.0,bottom
R4,193.4483,-136.6012,180.0,top
R40,206.4556,-161.5123,90.0,bottom
R41,203.8117,-161.4373,270.0,bottom
R42,196.8265,-171.196,0.0,bottom
R43,210.9978,-241.0225,90.0,bottom
R44,191.83,-237.7925,90.0,bottom
R45,192.6172,-260.0155,270.0,bottom
R5,194.73,-165.1379,90.0,top
R6,215.29,-165.1379,90.0,top
R7,199.9175,-191.09,0.0,top
R8,210.7075,-190.92,0.0,top
R9,201.6875,-200.8,180.0,top
S10,213.408,-206.1676,0.0,top
S11,213.408,-217.6992,0.0,top
S12,213.408,-229.18,0.0,top
S13,213.408,-240.6608,0.0,top
S14,213.408,-252.1924,0.0,top
S15,213.408,-263.6732,0.0,top
S3,213.5604,-132.8124,0.0,top
S4,197.0052,-206.1676,0.0,top
S5,197.0052,-217.6992,0.0,top
S6,197.0052,-229.18,0.0,top
S7,197.0052,-240.6608,0.0,top
S8,197.0052,-252.1924,0.0,top
S9,197.0052,-263.6732,0.0,top
U1,204.43,-211.51,270.0,bottom
U2,204.4023,-229.2475,270.0,bottom
U3,207.1816,-241.383,180.0,bottom
U4,197.33,-248.64,270.0,bottom
Y1,195.1201,-202.1154,0.0,bottom
