Designator,Mid X,Mid Y,Rotation,Layer
D1,364.7983,-122.64,0.0,top
D10,375.2994,-186.9078,0.0,top
D11,366.72,-229.46,0.0,top
D12,383.12,-229.46,0.0,top
D13,374.92,-236.18,90.0,top
D14,366.7615,-241.88,0.0,top
D15,383.2115,-241.93,0.0,top
D16,374.92,-247.8635,90.0,top
D17,366.7615,-253.355,0.0,top
D18,383.2115,-253.43,0.0,top
D19,374.92,-259.18,90.0,top
D2,364.3365,-135.2538,0.0,top
D20,366.7615,-266.1145,0.0,top
D21,382.9515,-266.1145,0.0,top
D22,368.1212,-291.447,0.0,top
D23,382.5212,-291.447,0.0,top
D24,367.3372,-195.82,0.0,top
D25,383.3372,-195.82,0.0,top
D26,363.6938,-208.6466,90.0,top
D27,387.0209,-208.6466,90.0,top
D28,375.3372,-222.3262,0.0,top
D29,375.3372,-195.295,90.0,top
D3,373.92,-128.6685,90.0,top
D30,381.0799,-159.1726,0.0,top
D4,382.2419,-126.2126,0.0,top
D5,378.8177,-130.6928,0.0,top
D6,385.9004,-121.6152,0.0,top
D7,369.1615,-159.1726,0.0,top
D8,364.0804,-165.648,0.0,top
D9,386.6075,-165.648,0.0,top
E_COM1,375.3212,-115.1746,0.0,top
E_COM_FQ1,375.3222,-144.2626,0.0,top
E_CRS_BARO1,375.2994,-174.0826,0.0,top
E_FMS1,375.3212,-279.899,0.0,top
E_MAP1,375.3372,-208.8664,0.0,top
J2,375.2,-243.58,90.0,bottom
R1,364.7983,-119.24,0.0,top
R10,375.2994,-189.4078,0.0,top
R11,370.0075,-224.58,0.0,top
R12,380.4925,-224.58,0.0,top
R13,374.92,-240.2725,270.0,top
R14,363.98,-241.88,90.0,top
R15,379.2875,-241.93,0.0,top
R16,374.92,-251.5625,270.0,top
R17,363.84,-253.355,270.0,top
R18,380.31,-253.43,270.0,top
R19,374.92,-263.2775,270.0,top
R2,364.2125,-139.065,0.0,top
R20,366.7615,-268.32,0.0,top
R21,380.87,-268.31,0.0,top
R22,371.9975,-291.447,0.0,top
R23,378.7875,-291.447,0.0,top
R24,367.3372,-198.12,0.0,top
R25,383.3372,-198.12,0.0,top
R26,363.6938,-212.2405,270.0,top
R27,387.0209,-212.2405,270.0,top
R28,375.3372,-224.58,0.0,top
R29,375.3673,-198.12,0.0,top
R3,376.12,-128.6685,90.0,top
R30,381.0799,-161.62,0.0,top
R4,382.2419,-128.3126,0.0,top
R5,378.8177,-132.8928,0.0,top
R6,385.9004,-123.7152,0.0,top
R7,369.1615,-161.62,0.0,top
R8,364.0804,-168.07,0.0,top
R9,386.6075,-168.07,0.0,top
S1,366.97,-128.5452,0.0,top
S2,366.97,-236.18,0.0,top
S3,366.97,-247.58,0.0,top
S4,366.97,-259.13,0.0,top
S5,383.37,-236.18,0.0,top
S6,383.37,-247.68,0.0,top
S7,383.37,-259.18,0.0,top
