Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",0603,2,8pF,
"C10, C11, C3, C4, C5, C6, C7, C8, C9",0603,9,0.1µF,
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D1_RX1, D2, D20, D21, D22, D23, D24, D25, D26, D27, D28, D29, D2_TX1, D3, D30, D31, D32, D33, D4, D5, D6, D7, D8, D9",LEDC1608X39N,35,LED,
"E_ALT1, E_NAV_FQ1",PEC11D4120FS0015,2,PEC11D-4120F-S0015,
"E_HDG1, E_NAV_VOL1",Rotary_Encoder_Switched_PEC11R,2,PEC11R-4215F-S0024,PEC11R-4215F-S0024
F1,FUSC3216X125N,1,0ZCJ0075AF2E,
J1,CF31361D0R0-05-NH,1,~,
J2,GCT_USB3140-30-0070-1-C_REVE1,1,USB3140-30-0070-1-C,
"J3, J7",PinHeader_2x03_P2.54mm_Vertical_SMD,2,AVR-ISP-6,
J5,CF31141D0R0-05-NH,1,~,
J6,PinHeader_1x06_P2.54mm_Vertical,1,Conn_01x06_Pin,
"R1, R10, R11, R12, R13, R14, R15, R16, R17, R18, R19, R2, R20, R21, R22, R23, R24, R25, R26, R27, R28, R29, R3, R30, R31, R32, R33, R4, R40, R41, R5, R6, R7, R8, R9",0603,35,180Ω,
"R34, R35",0603,2,22Ω,
R36,0603,1,1M,
"R37, R38, R39",0603,3,1K,
"R42, R43, R44, R45",0603,4,10K,
"S10, S11, S12, S13, S14, S15, S3, S4, S5, S6, S7, S8, S9",PTS526SK15SMTR2LFS,13,PTS526_SK15_SMTR2_LFS,
U1,TQFP-32_7x7mm_P0.8mm,1,ATmega16U2-A,
U2,TQFP-100_14x14mm,1,ATMEGA2560-16AU,ATMEGA2560-16AU
U3,CSTNE16M0V530000R0,1,CSTNE16M0V530000R0,
U4,SSOP-24_W5.30mm,1,CD74HC4067SM96,CD74HC4067SM96
Y1,ECS160836B2CKMTR,1,Crystal,
